Price,Close,High,Low,Open,Volume
Ticker,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK
Date,,,,,
2023-07-14,4342.37646484375,4342.37646484375,4263.781415706307,4283.430177990667,127814200
2023-07-17,4381.67431640625,4420.971843907651,4342.376788904849,4362.025552655549,166951300
2023-07-18,4420.97216796875,4479.918463541667,4401.323402777778,4420.97216796875,120810300
2023-07-20,4420.97216796875,4440.620933159722,4362.025872395833,4381.674637586806,111117300
2023-07-21,4420.97216796875,4420.97216796875,4381.674637586806,4401.323402777778,63094600
2023-07-24,4401.3232421875,4440.620771135603,4401.3232421875,4401.3232421875,62962500
2023-07-25,4440.62060546875,4479.918132950775,4420.971841727738,4420.971841727738,111248100
2023-07-26,4460.26953125,4479.918295704846,4440.620766795154,4479.918295704846,76200300
2023-07-27,4440.62060546875,4519.215660432798,4440.62060546875,4460.269369209762,109859200
2023-07-28,4479.91845703125,4479.91845703125,4420.972161543997,4420.972161543997,74036700
2023-07-31,4440.62060546875,4479.918132950775,4440.62060546875,4479.918132950775,186727400
2023-08-01,4479.91845703125,4519.215987356086,4440.620926706415,4440.620926706415,100137500
2023-08-02,4479.91845703125,4499.567222193668,4440.620926706415,4440.620926706415,90611300
2023-08-03,4479.91845703125,4519.215987356086,4440.620926706415,4460.2696918688325,82775000
2023-08-04,4381.67431640625,4499.566898910454,4381.67431640625,4479.918135159754,150738500
2023-08-07,4479.91845703125,4499.567222193668,4381.674631219162,4401.323396381579,88104900
2023-08-08,4420.97216796875,4519.215993923612,4401.323402777778,4479.918463541667,89189600
2023-08-09,4479.91845703125,4499.567222193668,4420.972161543997,4440.620926706415,91930000
2023-08-10,4479.91845703125,4499.567222193668,4460.2696918688325,4460.2696918688325,85474200
2023-08-11,4440.62060546875,4479.918132950775,4440.62060546875,4460.269369209762,74321000
2023-08-14,4440.62060546875,4460.269369209762,4381.6743142457135,4440.62060546875,127358400
2023-08-15,4381.67431640625,4460.269371409053,4381.67431640625,4440.620607658352,89597300
2023-08-16,4342.37646484375,4381.673989412472,4283.430177990667,4362.025227128111,188191900
2023-08-18,4381.67431640625,4401.323080156951,4322.728025154148,4322.728025154148,121561200
2023-08-21,4322.72802734375,4381.67431862571,4322.72802734375,4362.025554865057,91640000
2023-08-22,4381.67431640625,4420.971843907651,4322.728025154148,4322.728025154148,101221500
2023-08-23,4401.3232421875,4420.972006661551,4381.674477713448,4401.3232421875,78686900
2023-08-24,4362.02587890625,4420.972174567145,4362.02587890625,4420.972174567145,74407500
2023-08-25,4401.3232421875,4401.3232421875,4342.376948765346,4362.025713239397,65096500
2023-08-28,4362.02587890625,4420.972174567145,4362.02587890625,4401.323409346846,37126600
2023-08-29,4401.3232421875,4401.3232421875,4342.376948765346,4342.376948765346,57547200
2023-08-30,4342.37646484375,4401.322751696833,4322.727702559389,4401.322751696833,171282700
2023-08-31,4362.02587890625,4362.02587890625,4303.079583245354,4342.377113685951,175088200
2023-09-01,4381.67431640625,4401.323080156951,4342.376788904849,4401.323080156951,87366100
2023-09-04,4420.97216796875,4420.97216796875,4381.674637586806,4401.323402777778,43898200
2023-09-05,4420.97216796875,4440.620933159722,4401.323402777778,4420.97216796875,72464300
2023-09-06,4381.67431640625,4440.620607658352,4381.67431640625,4420.971843907651,106367800
2023-09-07,4283.4306640625,4362.025722118692,4283.4306640625,4342.376957604644,157998600
2023-09-08,4204.83544921875,4283.430504344334,4165.537921655958,4263.7817405629385,243324500
2023-09-11,4263.78173828125,4263.78173828125,4165.5379194268435,4204.8354469686055,80474100
2023-09-12,4224.48388671875,4303.078935773982,4224.48388671875,4283.430173510174,121654400
2023-09-13,4244.13330078125,4263.782066062645,4204.83577021846,4204.83577021846,59408000
2023-09-14,4263.78173828125,4263.78173828125,4185.186683197725,4185.186683197725,76831700
2023-09-15,4224.48388671875,4283.430173510174,4224.48388671875,4244.132648982558,141455400
2023-09-18,4185.1865234375,4244.1328125,4165.537760416667,4204.835286458334,61329000
2023-09-19,4224.48388671875,4224.48388671875,4165.537599927326,4185.186362191133,50612700
2023-09-20,4224.48388671875,4283.430173510174,4204.835124454942,4204.835124454942,98710100
2023-09-21,4204.83544921875,4263.7817405629385,4204.83544921875,4263.7817405629385,68584900
2023-09-22,4204.83544921875,4263.7817405629385,4204.83544921875,4204.83544921875,83184100
2023-09-25,4165.5380859375,4204.835615050118,4086.943027712264,4185.186850493809,120196700
2023-09-26,4086.942626953125,4145.888914841872,4086.942626953125,4126.240152212289,180280600
2023-09-27,4106.591796875,4165.538090610047,4067.2942677183014,4067.2942677183014,119774700
2023-09-29,4106.591796875,4185.186855188397,4106.591796875,4165.538090610047,140331100
2023-10-02,4126.24072265625,4165.538253348214,4126.24072265625,4126.24072265625,81674600
2023-10-03,4145.8896484375,4165.538414543839,4126.240882331162,4126.240882331162,54462700
2023-10-04,4126.24072265625,4145.889488002232,4086.9431919642852,4126.24072265625,121445000
2023-10-05,4067.293701171875,4145.888748537514,4067.2937011718745,4126.239986696105,116814800
2023-10-06,4067.293701171875,4126.239986696105,4067.2937011718745,4086.942463013285,70202300
2023-10-09,4027.99658203125,4106.591637290397,4027.99658203125,4086.9428734756098,144477000
2023-10-10,4067.293701171875,4126.239986696105,4027.996177489055,4027.996177489055,98457000
2023-10-11,4126.24072265625,4145.889488002232,4047.6456612723214,4047.6456612723214,100394800
2023-10-12,4165.5380859375,4224.484379606427,4145.889321381191,4165.5380859375,174022400
2023-10-13,4145.8896484375,4185.187180650178,4126.240882331162,4145.8896484375,84648800
2023-10-16,4126.24072265625,4185.187018694196,4126.24072265625,4185.187018694196,45782300
2023-10-17,4047.6455078125,4145.8893308176575,4047.6455078125,4126.240566216627,127287200
2023-10-18,4047.6455078125,4106.591801615595,4027.9967432114686,4027.9967432114686,77217600
2023-10-19,3929.75244140625,4047.6450146484376,3929.75244140625,4008.347490234375,195831400
2023-10-20,3969.05029296875,4008.3478206219056,3898.3147431930693,3914.0337542543316,173353600
2023-10-23,3929.75244140625,3988.698728027344,3921.8929365234376,3929.75244140625,82756100
2023-10-24,4008.34765625,4008.3476562500005,3890.4550781250005,3929.752604166667,104021500
2023-10-25,4067.293701171875,4086.942463013285,4008.3474156476445,4008.3474156476445,142215000
