Date,Actual_Close,Pred_LSTM,Pred_XGBoost,Pred_Hybrid,Error_LSTM,Error_XGBoost,Error_Hybrid
2023-11-03,4086.943115234375,3714.9768,4043.383,4062.8198,371.96630859375,43.56005859375,24.123291015625
2023-11-06,4126.24072265625,3721.912,4000.286,4037.691,404.32861328125,125.954833984375,88.5498046875
2023-11-07,4106.5908203125,3741.057,4067.3508,4089.2917,365.533935546875,39.239990234375,17.299072265625
2023-11-08,4086.943115234375,3766.4707,4045.029,4073.043,320.472412109375,41.9140625,13.900146484375
2023-11-09,3988.69921875,3788.539,4088.6433,4105.9272,200.16015625,-99.944091796875,-117.22802734375
2023-11-10,3949.40185546875,3804.1975,4055.808,4076.9006,145.204345703125,-106.40625,-127.498779296875
2023-11-13,3988.69921875,3803.288,4048.6755,4056.429,185.4111328125,-59.976318359375,-67.729736328125
2023-11-14,4126.24072265625,3791.9224,4077.2593,4078.039,334.318359375,48.9814453125,48.20166015625
2023-11-15,4126.24072265625,3782.6428,4127.085,4132.519,343.597900390625,-0.84423828125,-6.2783203125
2023-11-16,4106.5908203125,3787.5715,4130.3813,4115.3223,319.019287109375,-23.79052734375,-8.7314453125
2023-11-17,4126.24072265625,3795.7979,4079.1924,4072.3289,330.44287109375,47.04833984375,53.911865234375
2023-11-20,4086.943115234375,3803.8152,4145.7837,4139.4824,283.1279296875,-58.840576171875,-52.539306640625
2023-11-21,4145.88916015625,3811.7356,4142.2227,4157.548,334.153564453125,3.66650390625,-11.65869140625
2023-11-22,4204.83544921875,3816.3918,4114.3525,4117.127,388.443603515625,90.48291015625,87.70849609375
2023-11-23,4244.13330078125,3822.2124,4203.232,4224.637,421.9208984375,40.9013671875,19.49609375
2023-11-24,4204.83544921875,3836.972,4242.6714,4274.7847,367.863525390625,-37.8359375,-69.94921875
2023-11-27,4204.83544921875,3857.0806,4227.991,4236.8384,347.7548828125,-23.15576171875,-32.0029296875
2023-11-28,4165.5380859375,3871.892,4245.683,4235.699,293.64599609375,-80.14501953125,-70.1611328125
2023-11-29,4145.88916015625,3883.927,4165.3066,4170.0547,261.962158203125,-19.41748046875,-24.16552734375
2023-11-30,4204.83544921875,3890.0151,4167.2607,4171.872,314.8203125,37.57470703125,32.96337890625
2023-12-01,4322.728515625,3893.6416,4164.3374,4165.064,429.0869140625,158.39111328125,157.66455078125
2023-12-04,4283.43017578125,3897.9675,4352.1826,4372.2085,385.462646484375,-68.75244140625,-88.7783203125
2023-12-05,4263.78173828125,3914.5762,4323.3604,4314.1396,349.20556640625,-59.57861328125,-50.35791015625
2023-12-06,4303.0791015625,3927.056,4308.676,4303.826,376.023193359375,-5.5966796875,-0.7470703125
2023-12-07,4224.48486328125,3937.0366,4307.824,4300.717,287.4482421875,-83.33935546875,-76.23193359375
2023-12-08,4165.5380859375,3946.6423,4265.9214,4265.055,218.895751953125,-100.38330078125,-99.51708984375
2023-12-11,4185.18701171875,3947.4233,4181.3047,4177.7153,237.763671875,3.88232421875,7.4716796875
2023-12-12,4165.5380859375,3939.996,4234.2065,4234.8945,225.5419921875,-68.66845703125,-69.3564453125
2023-12-13,4362.025390625,3934.5422,4154.4844,4158.033,427.483154296875,207.541015625,203.9921875
